Date,Open,High,Low,Close,Adj Close,Volume,Days
2015-05-08,127.309998,128.059998,127.309998,127.540001,101.370155,52300,300
2015-05-11,127.349998,127.989998,127.080002,127.080002,101.004562,62600,301
2015-05-12,126.629997,127.230003,126.190002,126.910004,100.869446,42200,302
2015-05-13,127.120003,127.599998,126.739998,126.849998,100.821754,62800,303
2015-05-14,127.5,128.789993,127.5,128.710007,102.300087,63300,304
2015-05-15,128.789993,129.160004,128.75,129.149994,102.649811,67700,305
2015-05-18,128.929993,129.190002,128.649994,128.979996,102.514709,49700,306
2015-05-19,129.050003,129.050003,128.259995,128.649994,102.252373,69000,307
2015-05-20,128.699997,128.979996,128.429993,128.429993,102.07753,52400,308
2015-05-21,128.520004,128.759995,128.020004,128.559998,102.180862,62800,309
2015-05-22,128.479996,128.479996,128.070007,128.160004,101.862953,39500,310
2015-05-26,127.989998,128.089996,126.910004,127.169998,101.076073,82100,311
2015-05-27,127.470001,128.029999,127.389999,127.940002,101.688087,52300,312
2015-05-28,127.720001,127.93,127.25,127.75,101.537064,66300,313
2015-05-29,127.739998,127.739998,126.760002,127.010002,100.948914,62800,314
2015-06-01,127.309998,127.389999,126.540001,127.010002,100.948914,60400,315
2015-06-02,126.82,126.910004,126.059998,126.559998,100.59124,82400,316
2015-06-03,126.900002,127.059998,126.419998,126.57,100.599243,57600,317
2015-06-04,126.349998,126.629997,125.419998,125.489998,99.740791,87300,318
2015-06-05,125.400002,125.459999,123.940002,124.010002,98.564507,229700,319
2015-06-08,123.980003,124.260002,123.699997,123.870003,98.453217,82500,320
2015-06-09,123.870003,124.860001,123.779999,124.370003,98.850624,84300,321
2015-06-10,124.760002,125.839996,124.760002,125.610001,99.836189,67300,322
2015-06-11,125.800003,126.169998,125.510002,125.610001,99.836189,69600,323
2015-06-12,125.309998,125.309998,124.769997,125.220001,99.526192,69400,324
2015-06-15,124.739998,124.839996,124.190002,124.260002,98.763191,84100,325
2015-06-16,124.699997,125.669998,124.480003,125.629997,99.852066,90400,326
2015-06-17,125.839996,126.480003,125.339996,126.239998,100.336899,205000,327
2015-06-18,126.43,128.080002,126.43,127.540001,101.370155,101400,328
2015-06-19,127.519997,128.119995,127.43,127.610001,101.425797,94700,329
2015-06-22,128.199997,128.529999,127.970001,128.029999,101.759613,62600,330
2015-06-23,128.110001,128.110001,127.419998,127.68,101.48143,67800,331
2015-06-24,127.489998,127.760002,127.050003,127.089996,101.012497,65100,332
2015-06-25,127.32,127.489998,126.830002,126.830002,100.80584,76800,333
2015-06-26,127.010002,127.410004,126.760002,127.019997,100.956879,47100,334
2015-06-29,125.919998,126.510002,124.989998,124.989998,99.343391,99500,335
2015-06-30,125.779999,125.779999,124.889999,124.889999,99.263931,95800,336
2015-07-01,125.690002,126.389999,125.160004,126.339996,100.416374,85600,337
2015-07-02,126.57,126.849998,125.889999,126.25,100.344849,71500,338
2015-07-06,125.370003,126.550003,125.370003,126.07,100.201797,61700,339
2015-07-07,126.209999,128.550003,125.900002,128.440002,102.085503,81600,340
2015-07-08,127.589996,127.949997,127,127.010002,100.948914,75900,341
2015-07-09,128.25,128.649994,127.059998,127.059998,100.988663,110000,342
2015-07-10,128.029999,128.770004,128.029999,128.490005,102.125244,71900,343
2015-07-13,129.139999,129.809998,129.139999,129.770004,103.142593,73300,344
